name,url,pricing,category,desc,tags,logo,icon
Runway,https://runwayml.com,premium,Content Creation,Professional text→video editor with generative tools for filmmaking.,"video, editing",,🎬
Pika Labs,https://pika.art,freemium,Content Creation,Fast text→video creation focused on short-form clips.,"video, shorts",,🎥
Synthesia,https://www.synthesia.io,premium,Content Creation,Create presenter videos from scripts using AI avatars.,"video, avatar",,🎞
Leonardo AI,https://leonardo.ai,freemium,Image Generation,High-quality text→image generation for art and design.,"image, art",,🖌
Midjourney,https://www.midjourney.com,paid,Image Generation,"Artistic, stylized text→image generation for creatives.","image, stylize",,🎨
Ideogram,https://ideogram.ai,freemium,Image Generation,Posters & logo generation from text prompts.,"image, poster",,🖋
DreamStudio,https://dreamstudio.ai,paid,Image Generation,Stable Diffusion official studio for image generation.,"sd, image",,🖌
Playground AI,https://playground.ai,free,Image Generation,Free image generator and prompt playground.,"image, prompts",,🎨
Leonardo Diffusion,https://leonardo.ai,freemium,Image Generation,Precise SD-based image controls and variants.,"image, diffusion",,🖌
Krea AI,https://www.krea.ai,freemium,Image Generation,Real-time text→image generation with an easy UI.,"image, real-time",,🧠
Runway Green Screen,https://runwayml.com/green-screen/,premium,Content Creation,Background removal & replacement for videos.,"greenscreen, edit",,🟩
Kapwing,https://www.kapwing.com,freemium,Content Creation,Browser-based video & image editor for creators.,"video, editor",,✂
VEED,https://www.veed.io,freemium,Content Creation,Web video editor with auto-subtitles & templates.,"video, editor",,🎬
Pictory,https://pictory.ai,freemium,Content Creation,Turn scripts/articles into videos with captions.,"video, subtitles",,📽
Descript,https://www.descript.com,freemium,Content Creation,All-in-one audio/video editor with overdub TTS.,"audio, edit",,🎧
Wisecut,https://wisecut.video/,freemium,Content Creation,"Auto jump-cuts, music and short-form optimizations.","auto-edit, shorts",,✂
Clipchamp,https://www.clipchamp.com/,freemium,Content Creation,Microsoft’s easy web video editor with templates.,"video, templates",,🎬
CapCut,https://www.capcut.com/,freemium,Content Creation,Web and mobile editor with effects and templates.,"video, editor",,🎬
Vimeo/VEED Subtitles,https://www.veed.io/tools/automatic-subtitles,freemium,Content Creation,Auto generate subtitles and captions for videos.,"subtitles, captions",,📝
Otter.ai,https://otter.ai/,freemium,Content Creation,"Meeting transcription, searchable notes and summaries.","transcription, meetings",,🎙
Riverside.fm,https://riverside.fm/,freemium,Content Creation,Record remote interviews and auto-generate highlights.,"podcast, recording",,🎧
Kapwing Meme Maker,https://www.kapwing.com/meme-maker,freemium,Content Creation,Quick meme creation with templates and editor.,"meme, templates",,😂
Canva,https://www.canva.com,freemium,Content Creation,All-in-one design and video templates with AI features.,"design, templates",,🎨
Canva Beat Sync,https://www.canva.com,freemium,Content Creation,Auto-sync video edits to music beats.,"beat, sync",,🎵
Adobe Express,https://www.adobe.com/express/,freemium,Content Creation,Design & short video templates with AI helpers.,"design, video",,🎨
Jasper,https://www.jasper.ai,paid,Content Creation,AI content platform for marketing copy and blogs.,"writing, marketing",,🧠
Writesonic,https://writesonic.com/,freemium,Content Creation,"AI writer for ads, blogs and landing pages.","writing, ads",,📝
Copy.ai,https://www.copy.ai/,freemium,Content Creation,Quick marketing copy and idea generation AI.,"copy, marketing",,📣
Rytr,https://rytr.me/,freemium,Content Creation,Lightweight AI writing assistant for fast content.,"writing, blog",,🖊
Grammarly,https://www.grammarly.com,freemium,Content Creation,"Writing assistant for grammar, clarity and tone detection.","writing, grammar",,📖
Wordtune,https://www.wordtune.com,freemium,Content Creation,Rewrite and rephrase assistant to improve clarity.,"rewrite, paraphrase",,🔁
ProWritingAid,https://prowritingaid.com/,freemium,Content Creation,"Grammar, style and readability editor for writers.","editing, grammar",,📝
QuillBot,https://quillbot.com/,freemium,Content Creation,Paraphrasing and summarization AI for writers.,"paraphrase, summarize",,🔁
Notion AI,https://www.notion.so/product/ai,freemium,Productivity & Automation,"AI inside Notion for writing, summaries and ideas.","notes, docs",,📒
Tome,https://tome.app/,freemium,Content Creation,AI-powered presentation builder and storytelling tool.,"slides, deck",,📊
Gamma,https://gamma.app/,freemium,Content Creation,Generate pitch decks & docs from text prompts.,"decks, docs",,📑
Type.ai,https://type.ai/,freemium,Content Creation,Smart document editor with AI-assisted writing.,"docs, editor",,✍
Hemingway App,https://hemingwayapp.com/,free,Content Creation,Writing clarity analyzer focusing on readability.,"writing, clarity",,✍
Scribble Diffusion,https://scribblediffusion.com/,free,Image Generation,Turn doodles or sketches into full images.,"draw, sketch",,🖍
Illustroke,https://www.illustroke.com/,paid,Image Generation,Generate SVG illustrations from text prompts.,"svg, vector",,✏
Cleanup.pictures,https://cleanup.pictures/,freemium,Content Creation,Remove unwanted objects from photos with AI.,"inpaint, cleanup",,🧽
Remove.bg,https://www.remove.bg/,freemium,Content Creation,Instant background removal for images and products.,"background, remove",,✂
Clipdrop,https://clipdrop.co/,freemium,Content Creation,"Enhance, relight and upscale images with AI tools.","edit, upscale",,💡
Let’s Enhance,https://letsenhance.io/,freemium,Image Generation,AI-powered image upscaling and enhancement.,"upscale, image",,🔍
Magnific,https://magnific.ai/,paid,Image Generation,High-quality image enhancer and upscaler.,"enhance, upscale",,🔍
Hotpot.ai,https://hotpot.ai/,freemium,Content Creation,"AI design tools for graphics, icons and banners.","design, graphics",,🧠
DeepAI,https://deepai.org/machine-learning-model/text2img,free,Image Generation,Text→image API for quick programmatic generation.,"api, image",,🖌
Lexica,https://lexica.art/,free,Image Generation,Prompt-based image search and inspiration gallery.,"search, prompts",,🔍
NightCafe,https://creator.nightcafe.studio,freemium,Image Generation,Community-driven text→image generator with styles.,"image, community",,🌙
Dream by Wombo,https://www.wombo.art/,freemium,Image Generation,Fast art generation with style presets and community.,"art, style",,🌈
AutoDraw,https://www.autodraw.com/,free,Content Creation,Smart drawing assistant that recognizes doodles.,"draw, assist",,✏
D-ID,https://www.d-id.com/,paid,Content Creation,Create talking avatars and animated faces from images.,"avatar, animation",,🎭
Hour One,https://www.hourone.ai/,paid,Content Creation,Virtual humans for business video content and e-learning.,"avatar, video",,👤
Reface,https://reface.ai/,freemium,Content Creation,Face-swapping app that uses AI to map expressions.,"face, swap",,😎
Deep Nostalgia,https://www.myheritage.com/deep-nostalgia,paid,Content Creation,Animate old photos into short lifelike videos.,"photo, animation",,🧓
RunDiffusion,https://rundiffusion.com/,paid,Image Generation,Hosted Stable Diffusion with UI for image experiments.,"sd, image",,🖼
Scenario,https://www.scenario.com/,paid,Image Generation,Generate game assets and characters for studios.,"game, assets",,🎮
Krea,https://www.krea.ai,freemium,Image Generation,Realtime image generation platform for creatives.,"image, realtime",,🧠
Paint by Text,https://paintbytext.chat/,free,Image Generation,Edit images by describing changes in plain text.,"edit, image",,🎨
PhotoRoom,https://www.photoroom.com/,freemium,Content Creation,Product photo editing and e-commerce image maker.,"product, photo",,🧺
Cleanvoice,https://cleanvoice.ai/,freemium,Audio & Voice Tools,Remove filler words and improve podcast audio quality.,"audio, cleanup",,🎧
Descript Overdub,https://www.descript.com/,freemium,Audio & Voice Tools,Clone voices and edit audio like text using overdub.,"tts, clone",,🎤
PlayHT,https://play.ht/,freemium,Audio & Voice Tools,Realistic TTS voices and voice cloning for narration.,"tts, voice",,🗣
Murf,https://murf.ai/,freemium,Audio & Voice Tools,Studio-grade voiceover generation and editing suite.,"voice, studio",,🎙
ElevenLabs,https://elevenlabs.io/,freemium,Audio & Voice Tools,Industry-leading realistic text-to-speech and dubbing.,"tts, cloning",,🔊
Speechelo,https://speechelo.com/,paid,Audio & Voice Tools,"Simple, natural-sounding TTS for creators.","tts, voice",,🔉
AIVA,https://www.aiva.ai/,freemium,Content Creation,AI music composer for background scores and themes.,"music, compose",,🎼
Beatoven,https://www.beatoven.ai/,freemium,Content Creation,Custom royalty-free music tailored to mood and length.,"music, royalty-free",,🎶
Soundful,https://soundful.com/,freemium,Content Creation,AI music generator for creators and streamers.,"music, generator",,🎧
Mubert,https://mubert.com/,freemium,Content Creation,AI-generated music for streaming and content use.,"music, stream",,🎶
Boomy,https://boomy.com/,freemium,Content Creation,Create and publish songs with AI instantly.,"music, publish",,🎵
Soundraw,https://soundraw.io/,paid,Content Creation,AI music composer for commercial projects and videos.,"music, compose",,🎼
